SizeRank,SizeRank,DisplayName,PrimaryPayerId,Other Names,Aliases IDs,OperatingStates,Programs,WebsiteUrl,Credentialing,Credentialing,Eligibility Checks,Patient Cost Estimates,Patient Cost Estimates,Submit Claims,Receive ERAs,Enroll to receive ERAs,ERA enrollment type,ERA enrollment timeline,CoverageTypes
1035,1035,CVS Caremark Minute Clinic,J1457,CVS Pharmacy,J1457,,WORKERS_COMPENSATION,https://www.cvs.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2831,2831,AFLAC,AFLAC,AFLAC Dental|Aflac,10398|3056|58066|8428|ABS01|AFGRP|AFLAC|DYBVK,NATIONAL,COMMERCIAL,https://www.aflac.com,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,ONE_CLICK,WEEKS,dental
65,65,All Savers,81400,All Savers Alternate Funding|All Savers Insurance|All Savers Life Insurance Company|American Medical Security|PacifiCare Health|UnitedHealthOne|UnitedHealthOne PacifiCare Life and Health|UnitedHealthOne UnitedHealthcare Life Insurance Company|UnitedHealthcare All Savers Insurance|UnitedHealthcare Life Insurance Company,10829|11027|1941|7481|81400|ALLSA|AMMEDS,,COMMERCIAL,https://www.uhcprovider.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
3156,3156,Dominion National,DOM01,,DOM01,,COMMERCIAL,https://www.dominionnational.com,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,MULTI_STEP,HOURS,dental
172,172,Sagamore Health Network,35164,,35164|6464,,COMMERCIAL,https://sagamorehn.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
939,939,AllCare IPA,AC101,AllCare Independent Practice Association,24333|7247|AC101,CA,COMMERCIAL,https://www.allcareipa.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
1252,1252,Integra Administrative Group,51020,,11054|51020|6651|6754|INTAG,,COMMERCIAL,https://integratpa.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
620,620,Blue Cross and Blue Shield of Mississippi,230,BCBS Mississippi|Blue Cross Blue Shield Mississippi,00230|100041|10040|2415|BCMS|CBMS1|MSBCBS|MSBLS|SB730|SB732|TBS03,MS,COMMERCIAL|MEDICARE,https://www.bcbsms.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,WEEKS,dental|medical|vision
1596,1596,Sendero Health Plans,MV440,MediView Sendero IdealCare|Sendero,8104|MV440|SCS17|UV440,,,https://senderohealth.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
1346,1346,Alpha Care Medical Group (Astrana Health),NMM04,AlphaCare Medical Group,3000|8247|ACMG1|NMM04,CA,COMMERCIAL,https://alphacaremed.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,medical
1368,1368,Auxiant (Valenz),92645,AuxiantHealth|Midwest Health Partners|Valenz Health|WPS|Wisconsin Physicians Service Insurance Corporation,4092|8833|92645,,COMMERCIAL,https://www.auxiant.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
1387,1387,RCI,47076,RCI Group II|Regional Care Incorporated,15537|2967|3266|47076,,COMMERCIAL,https://www.regionalcare.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,medical
2124,2124,Share HealthCare,52876,,52876,,COMMERCIAL,https://sharehealthcare.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
3315,3315,MemorialCare Medical Foundation (Cap Services),MMFCS,,MMFCS,,,https://www.memorialcare.org,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,MULTI_STEP,WEEKS,medical
2697,2697,Marrick Mement Finance,20805,,20805|3555|6434,,,https://www.marrick.com,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,
3511,3511,Evolent Specialty Institutional,NCHINS,,NCHINS,,,https://www.evolent.com,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,medical
3043,3043,benefitSMART,77149,B Smart Health Solutions|bSMART Health Solutions,1848|77149,,COMMERCIAL,https://www.benefit-smart.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
593,593,Christian Brothers Services,38308,,10908|38308|4674|6202|CBSAB|CBSER,,COMMERCIAL,https://www.cbservices.org,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,dental|medical|vision
1008,1008,Electric Welfare Trust Fund,30506,Local 26 IBEW-NECA Joint Trust Funds,30506|9173,,COMMERCIAL,https://www.ewtf.org,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,dental|medical
1334,1334,Group Marketing Services,66701,,66701|8253,MI,COMMERCIAL,https://www.groupmarketingservices.com,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,dental|medical
1110,1110,Harmony Health Plan,10514,,10514|36406|HARHP14163|HARM1,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,WEEKS,medical
2149,2149,Wellcove,CHCS,CHCS Services Incorporated,3003|75895|7827|CHCS|XCHCS|Z10899|ZP3719,,,https://wellcove.com,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,MULTI_STEP,HOURS,
991,991,Allied Claims Administration Incorporated,J1733,,J1733,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
661,661,Community Care Behavioral Health Organization,23282,Community Care BHO|UPMC,23282,PA,,https://providers.ccbh.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,dental|medical
953,953,LifeShield National Insurance Co.,47865,LifeShield National Insurance Company,47865,,,https://lifeshieldnational.com,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
1865,1865,Vital Protection,67524,,67524,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
520,520,University of Utah Health Plans,SX155,Healthy U|University of Utah Health Plan,10977|4779|5920|SX155|UNUTHP|Z1030,ID|MT|NV|UT|WY,,https://uhealthplan.utah.edu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,WEEKS,dental|medical
287,287,Blue Cross Blue Shield Pennsylvania Northwest,100338,BCBS Pennsylvania Northwest,100338,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,medical
82,82,Optum Care Network,LIFE1,Lifeprint Network|Optum Care Network KS-MO|Optum Medical Network|OptumCare,14456|4608|6101|LFPRT|LIFE1|LIFE1MA,,,https://www.optum.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,dental|medical
2220,2220,Mission Community IPA Medical Group,MPM07,MedPOINT Management,MPM07,,COMMERCIAL,https://www.medpointmanagement.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
568,568,Inland Empire Health Plan,IEHP1,IEHP|Inland Empire Health,10104|6589|7743|IEHP|IEHP1|IEHP2|IEHP2MA,CA,MEDICARE|MEDICAID,https://www.iehp.org,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,dental|medical
1963,1963,Kova Healthcare Incorporated,KOVA1,,1298|2070|KOVA1,CA,MEDICARE,https://www.kovahealth.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
2097,2097,EMC Insurance,21415,Dakota Fire|EMC Property and Casualty Workers' Compensation Only|Employers Mutual Casualty Workers' Compensation Only|Hamilton Mutual Workers' Compensation|Illinois EMCASCO,21415,,,https://www.emcinsurance.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
1558,1558,Carisk Partners,33632,Concordia Care Incorporated,33632|7137,,COMMERCIAL,https://www.cariskpartners.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
1749,1749,Ohio Health Choice,34189,,1860|34189,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
391,391,Medicare Tennessee Part B,SMTN0,Medicare Tennessee Part B (Cahaba)|Palmetto GBA (PGBA) - Tennessee,10312|SMTN0|TNMCR,TN,MEDICARE,https://www.cms.gov,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,WEEKS,dental|medical
3280,3280,5Star Life Insurance Company,5STAR,,5STAR,,COMMERCIAL,https://www.5starlifeinsurance.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,
804,804,SCAN Health Plan,SPSCN,SCAN HMO California|SCAN Health Maintenance Organization California|SCAN Health Plan California|Village Health Plan,10178|2983|4464|72261|72261MA|SCAN1|SCNHMO|SPSCN,AZ|CA|NV|NM|TX|WA,MEDICARE|MEDICAID,https://www.scanhealthplan.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
1510,1510,Hospital Sisters Health System Medical Group Independent Practice Association,37137,HSHS Medical Group IPA,37137|4747,,COMMERCIAL,https://www.hshs.org,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
1978,1978,Housing Authority El Paso (Texas),A0107,Housing Opportunity Management Enterprises,A0107,TX,WORKERS_COMPENSATION,https://www.ephome.org,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
747,747,Braven Health,84367,,14321|5000|84367|84367MA|8844|BRAVEN,NJ,MEDICARE,https://bravenhealth.com,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
1210,1210,HealthSmart MSO,HSM01,Angeles IPA|Asian Community Medical Group Incorporated|Associated Dignity Medical Group Professional Corporation|Associated Physicians Medical Group Incorporated|California Pacific Physicians Medical Group Incorporated|HMMSO|HealthSmart Management Services Organization|HealthSmart Management Services Organization Incorporated|Healthy New Life Medical Corporation|Korean American Medical Group|New Life Medical Group Incorporated|Noble Mid-Orange County (HealthSmart)|Orange County Advantage Medical Group|Regent Medical Group Incorporated (Regent Family Practice of Glendale)|Saigon Medical Group Incorporated|Southland Advantage Medical Group Incorporated|St. Peter Medical Group Incorporated,7243|8679|A0067|AMM24|HSM01|OWGEG,CA,,https://healthsmartmso.com,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,medical
1409,1409,Prominence Health Plan,88082,,2700|7568|88082,FL|NV|TX,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,dental|medical
911,911,Workforce Safety and Insurance (WSI),J1500,,J1500,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
332,332,CareFirst BlueCross BlueShield Medicare Advantage,45282,CareFirst BCBS Medicare Advantage|University of Maryland Health Advantage,45282|45282MA|7487|9643,MD|VA|DC,MEDICARE,https://www.carefirst.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,dental|medical|vision
4,4,Anthem Blue Cross Blue Shield of Indiana,130,Anthem Blue Cross Blue Shield Indiana|Anthem Blue Cross Blue Shield Indiana (Medicaid Reclamation)|Anthem Blue Cross Blue Shield Indiana Dental|Anthem Blue Cross Blue Shield of Indiana - Medicare Advantage|Anthem Blue Cross and Blue Shield Indiana|Anthem Insurance Companies|Blue Cross Blue Shield of Indiana (FEP),00130|00630|00715|10258|130|1412|3502|630|INBCBS|INBLS|SB630|ZBIN0|ZBIN0MA,IN,COMMERCIAL|MEDICARE|MEDICAID,https://www.anthem.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,INSTANT,dental|medical|vision
2476,2476,PHH Fleet America,J1094,,J1094,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2927,2927,All United Medical Group,AUMG1,,7040|9423|AUMG1,CA,COMMERCIAL,https://www.allunitedipa.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
1032,1032,MultiCare Connected Care,RP036,,6098|9276|RP036,WA,MEDICARE,https://www.multicareconnectedcare.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
2067,2067,Brunswick Corporation,J1032,,J1032,,WORKERS_COMPENSATION,https://www.brunswick.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
3190,3190,CMS MBI Lookup Without SSN,MBILUNOSSN,CMS MBI Lookup Without Social Security Number,MBILUNOSSN,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,dental|medical
3033,3033,Adusa/Adhold (Formerly Retail Business Services) – Workers Compensation,APWTB,Adusa/Adhold (Formerly Retail Business Services),APWTB,,WORKERS_COMPENSATION,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,INSTANT,medical
892,892,Indian Health Services,290,,00290|5865|8921,,,https://www.ihs.gov,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
1684,1684,AudioNet - National Elevator,AUDIO,AudioNet National Elevator,2861|AUDIO,,,https://www.audionetamerica.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
1557,1557,Cardiovascular Care Providers Incorporated (CVCP),GCVCP,,4276|5553|GCVCP,TX,,https://www.cvcpdocs.com,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2757,2757,Group Insurance Service Center Incorporated,37276,Point C Health,37276,,,https://www.pointchealth.com,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,MULTI_STEP,HOURS,
1617,1617,CMS MBI Lookup,MBILU,,14316|MBILU,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,dental|medical
255,255,Kaiser Foundation Health Plan Washington,91051,Kaiser Foundation Health Plan Washington Options|Kaiser Permanente of Washington (KPWA),10608|6511|8405|91051|91051MA|GRPNW,ID|WA,,https://kaiserpermanente.org,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,dental|medical|vision
3029,3029,Valley Health Plan (Medi-Cal),VHP02,,VHP02,CA,MEDICAID,https://www.valleyhealthplan.org,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
1736,1736,California Insurance Guarantee Association (CIGA),J1532,CIGA,J1532,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
962,962,Doctors HealthCare Plans,DRHCP,,14528|2004|8135|DRHCP,FL,MEDICARE,https://www.doctorshcp.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
829,829,HMO Colorado,COHMO,,COHMO,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
1812,1812,Orthonet Uniformed Services Family Health Plan,13382,Orthonet US Family Health Plan,13382,,,https://www.orthonet-online.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
937,937,Hartford Life and Accident Insurance Company,C1044,,C1044,,,https://www.thehartford.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
792,792,CarePartners of Connecticut,16307,,16307|16307MA|2033|8170,CT,MEDICARE,https://www.carepartnersct.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,WEEKS,dental|medical|vision
783,783,Joplin Claims,43178,,00337|1659|3255|43178,,COMMERCIAL,https://www.pointchealth.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical
1634,1634,BeneSys,37248,BeneSys Incorporated,37248|38238,,,https://www.benesys.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,MULTI_STEP,HOURS,medical
2465,2465,Orange County Fire Authority,J1876,,J1876,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
954,954,AgeRight Advantage,ARA01,,00369|1214|16575|3937|ARA01,OR|WA,MEDICARE,https://agerightadvantage.com,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,medical
248,248,CompBenefits Dental,CX021,Alief Independent School District|Chicago Transit Authority|City of Chicago|City of Sugar Land|College Insurance Program|CompBenefits Corporation|Florida Combined Life|Humana Dental Insurance Co|Humana Insurance Company|Humana Specialty Benefits|Local Government Health Plan|Security Dental Plan|State of Illinois|Union Fidelity Life Insurance Company,00147|9252|CX021,IL,,https://www.compbenefits.com,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,ONE_CLICK,WEEKS,dental
77,77,UnitedHealthcare Community Plan New Jersey,86047,AmeriChoice of New Jersey,10018|12243|2806|7510|86001|86047|86047MA|ACNJ|AMNJC|KCKES,NJ,MEDICAID,https://www.uhcprovider.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
3472,3472,Vitruvian Care Incorporated,VUIPA,,VUIPA,,,https://www.vitruviancare.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
14,14,Healthy Blue North Carolina,602,Healthy Blue Care Together|Healthy Blue of North Carolina|HealthyBlue Care Together,00602|00602MA|14422|5022|5086|602|9133|HBLUNC,NC,,https://www.healthybluenc.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,INSTANT,dental|medical|vision
3470,3470,"UTMB Health Plans, Inc",87892,,87892,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,medical
107,107,Optum Pinnacle Medical Group,95271,,1106|3945|95271,CA,,https://pmg.optum.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,MULTI_STEP,WEEKS,medical
2292,2292,City of Banning (California),J1792,,J1792,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
1672,1672,Pennsylvania Program of All-Inclusive Care for the Elderly,20172,Pennsylvania PACE,20172|5603|6228,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
2021,2021,CoreCivic,J1942,CCA|Corrections Corporation of America,J1942,,WORKERS_COMPENSATION,https://www.corecivic.com,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
1058,1058,City of Omaha (Nebraska),J1721,,J1721,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
117,117,Aetna Better Health of Illinois,68024,IlliniCare Health Plan,10757|10892|5013|68024|68024MA|8861|ASRYM|ILMSA,IL,MEDICAID,https://www.aetnabetterhealth.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
1436,1436,Helmsman Management Services,33600,Helmsman TPA|Liberty Mutual|Liberty Mutual Middle Markets|Liberty Northwest|Liberty Wausau,33600,,COMMERCIAL,https://www.helmsmantpa.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
569,569,Blue Cross Blue Shield of North Dakota,55891,BCBSND|Blue Cross Blue Shield North Dakota|Blue Cross Blue Shield of North Dakota - Medicare Advantage|Blue Cross ND (North Dakota Dental Service),00820|10478|2411|55891|5593|CX004|NDBCBP|NDBLS|SB820,ND,COMMERCIAL|MEDICARE|MEDICAID,https://www.bcbsnd.com,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,dental|medical|vision
2566,2566,Xcel Energy,J1628,,J1628,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
1052,1052,Argonaut Insurance Company (Argo),19801,Argo Group,19801,,WORKERS_COMPENSATION,https://www.argogroup.com,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
2392,2392,GuideOne Mutual Insurance,J1574,,J1574,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,ONE_CLICK,DAYS,medical
1517,1517,Prime Health Services,23287,InterGroup Services Corporation,23287|2961|5485|LV122,,COMMERCIAL,https://www.primehealthservices.com,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,medical
1281,1281,Trustmark,61425,Trustmark Insurance Company|Trustmark Mutual Holding Company|Trustmark Small Business Benefits,00044|10190|4541|61425|6401|TRSMRK,,,https://trustmarkbenefits.com,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,ONE_CLICK,WEEKS,dental|medical|vision
2821,2821,Lumico Life Insurance Company,Z96364,,11236|LUMICO|Z96364,,MEDICARE,https://lumico.com,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,dental|medical|vision
